distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
jpeg,5,5.0,16.218186348216353,12,roundabout,5,5,0.2
jpeg,5,5.0,16.218186348216353,13,soccer-ball-field,7,4,0.2857142857142857
jpeg,5,5.0,16.218186348216353,14,swimming-pool,64,8,0.0078125
jpeg,10,10.0,19.688575281576988,0,plane,48,43,0.874515503875969
jpeg,10,10.0,19.688575281576988,1,ship,6,9,0.6666666666666666
jpeg,10,10.0,19.688575281576988,2,storage-tank,15,7,0.4
jpeg,10,10.0,19.688575281576988,3,baseball-diamond,11,5,0.3272727272727272
jpeg,10,10.0,19.688575281576988,4,tennis-court,87,76,0.8619177253478524
jpeg,10,10.0,19.688575281576988,5,basketball-court,6,0,0.0
jpeg,10,10.0,19.688575281576988,6,ground-track-field,9,4,0.3055555555555555
jpeg,10,10.0,19.688575281576988,7,harbor,48,49,0.7174822600786989
jpeg,10,10.0,19.688575281576988,8,bridge,10,9,0.6749999999999999
jpeg,10,10.0,19.688575281576988,9,large-vehicle,57,93,0.578006355469259
jpeg,10,10.0,19.688575281576988,10,small-vehicle,175,138,0.6283182453987847
jpeg,10,10.0,19.688575281576988,11,helicopter,0,0,
jpeg,10,10.0,19.688575281576988,12,roundabout,5,4,0.4
jpeg,10,10.0,19.688575281576988,13,soccer-ball-field,7,7,0.5238095238095237
jpeg,10,10.0,19.688575281576988,14,swimming-pool,64,2,0.015625
jpeg,20,20.0,22.715415437378294,0,plane,48,44,0.8944128787878788
jpeg,20,20.0,22.715415437378294,1,ship,6,9,0.8055555555555556
jpeg,20,20.0,22.715415437378294,2,storage-tank,15,12,0.52
jpeg,20,20.0,22.715415437378294,3,baseball-diamond,11,6,0.5454545454545454
jpeg,20,20.0,22.715415437378294,4,tennis-court,87,78,0.896551724137931
jpeg,20,20.0,22.715415437378294,5,basketball-court,6,2,0.3333333333333333
jpeg,20,20.0,22.715415437378294,6,ground-track-field,9,10,0.3222222222222222
jpeg,20,20.0,22.715415437378294,7,harbor,48,48,0.696002625649357
jpeg,20,20.0,22.715415437378294,8,bridge,10,8,0.7
jpeg,20,20.0,22.715415437378294,9,large-vehicle,57,102,0.5341210498593253
jpeg,20,20.0,22.715415437378294,10,small-vehicle,175,140,0.6319405640786827
jpeg,20,20.0,22.715415437378294,11,helicopter,0,0,
jpeg,20,20.0,22.715415437378294,12,roundabout,5,6,0.4
jpeg,20,20.0,22.715415437378294,13,soccer-ball-field,7,8,0.5428571428571428
jpeg,20,20.0,22.715415437378294,14,swimming-pool,64,2,0.015625
jpeg,40,40.0,25.44764178746442,0,plane,48,44,0.8944128787878788
jpeg,40,40.0,25.44764178746442,1,ship,6,10,0.8333333333333334
jpeg,40,40.0,25.44764178746442,2,storage-tank,15,10,0.58
jpeg,40,40.0,25.44764178746442,3,baseball-diamond,11,6,0.5454545454545454
jpeg,40,40.0,25.44764178746442,4,tennis-court,87,80,0.8953801945181257
jpeg,40,40.0,25.44764178746442,5,basketball-court,6,0,0.0
jpeg,40,40.0,25.44764178746442,6,ground-track-field,9,8,0.6388888888888888
jpeg,40,40.0,25.44764178746442,7,harbor,48,46,0.7468404147714982
jpeg,40,40.0,25.44764178746442,8,bridge,10,10,0.88
jpeg,40,40.0,25.44764178746442,9,large-vehicle,57,103,0.4993422611522626
jpeg,40,40.0,25.44764178746442,10,small-vehicle,175,139,0.6132561956896755
jpeg,40,40.0,25.44764178746442,11,helicopter,0,0,
jpeg,40,40.0,25.44764178746442,12,roundabout,5,6,0.4
jpeg,40,40.0,25.44764178746442,13,soccer-ball-field,7,6,0.5714285714285714
jpeg,40,40.0,25.44764178746442,14,swimming-pool,64,3,0.03125
noise,5,5.0,18.419875122198725,0,plane,48,50,0.8958333333333334
noise,5,5.0,18.419875122198725,1,ship,6,10,1.0
noise,5,5.0,18.419875122198725,2,storage-tank,15,9,0.6
noise,5,5.0,18.419875122198725,3,baseball-diamond,11,8,0.7272727272727273
noise,5,5.0,18.419875122198725,4,tennis-court,87,89,0.9522441160372196
noise,5,5.0,18.419875122198725,5,basketball-court,6,4,0.6666666666666666
noise,5,5.0,18.419875122198725,6,ground-track-field,9,7,0.6666666666666666
noise,5,5.0,18.419875122198725,7,harbor,48,42,0.7471105283605284
noise,5,5.0,18.419875122198725,8,bridge,10,9,0.788888888888889
noise,5,5.0,18.419875122198725,9,large-vehicle,57,116,0.7528254358620178
noise,5,5.0,18.419875122198725,10,small-vehicle,175,93,0.4386083796788052
noise,5,5.0,18.419875122198725,11,helicopter,0,0,
noise,5,5.0,18.419875122198725,12,roundabout,5,7,0.2
noise,5,5.0,18.419875122198725,13,soccer-ball-field,7,13,0.5428571428571428
noise,5,5.0,18.419875122198725,14,swimming-pool,64,9,0.0833333333333333
noise,10,10.0,15.975570212587229,0,plane,48,50,0.8958333333333334
noise,10,10.0,15.975570212587229,1,ship,6,9,0.7222222222222223
noise,10,10.0,15.975570212587229,2,storage-tank,15,11,0.5933333333333333
noise,10,10.0,15.975570212587229,3,baseball-diamond,11,7,0.5454545454545454
noise,10,10.0,15.975570212587229,4,tennis-court,87,90,0.942528735632184
noise,10,10.0,15.975570212587229,5,basketball-court,6,4,0.6666666666666666
noise,10,10.0,15.975570212587229,6,ground-track-field,9,7,0.6666666666666666
