distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
jpeg,3,3.0,14.437534838522705,3,baseball-diamond,11,0,0.0
jpeg,3,3.0,14.437534838522705,4,tennis-court,87,20,0.2183908045977011
jpeg,3,3.0,14.437534838522705,5,basketball-court,6,0,0.0
jpeg,3,3.0,14.437534838522705,6,ground-track-field,9,0,0.0
jpeg,3,3.0,14.437534838522705,7,harbor,48,35,0.4313289141414141
jpeg,3,3.0,14.437534838522705,8,bridge,10,7,0.4514285714285714
jpeg,3,3.0,14.437534838522705,9,large-vehicle,57,60,0.7342808887219967
jpeg,3,3.0,14.437534838522705,10,small-vehicle,175,68,0.3446606134307747
jpeg,3,3.0,14.437534838522705,11,helicopter,0,0,
jpeg,3,3.0,14.437534838522705,12,roundabout,5,0,0.0
jpeg,3,3.0,14.437534838522705,13,soccer-ball-field,7,0,0.0
jpeg,3,3.0,14.437534838522705,14,swimming-pool,64,223,0.0127653692224362
jpeg,5,5.0,16.218186348216353,0,plane,48,49,0.9148633945841392
jpeg,5,5.0,16.218186348216353,1,ship,6,21,0.2676767676767677
jpeg,5,5.0,16.218186348216353,2,storage-tank,15,4,0.2
jpeg,5,5.0,16.218186348216353,3,baseball-diamond,11,0,0.0
jpeg,5,5.0,16.218186348216353,4,tennis-court,87,45,0.4691533755086281
jpeg,5,5.0,16.218186348216353,5,basketball-court,6,2,0.3333333333333333
jpeg,5,5.0,16.218186348216353,6,ground-track-field,9,0,0.0
jpeg,5,5.0,16.218186348216353,7,harbor,48,42,0.5481541892273495
jpeg,5,5.0,16.218186348216353,8,bridge,10,11,0.6777777777777778
jpeg,5,5.0,16.218186348216353,9,large-vehicle,57,69,0.8288900146554867
jpeg,5,5.0,16.218186348216353,10,small-vehicle,175,91,0.4486083807209763
jpeg,5,5.0,16.218186348216353,11,helicopter,0,0,
jpeg,5,5.0,16.218186348216353,12,roundabout,5,1,0.2
jpeg,5,5.0,16.218186348216353,13,soccer-ball-field,7,1,0.1428571428571428
jpeg,5,5.0,16.218186348216353,14,swimming-pool,64,389,0.0545457090192998
jpeg,10,10.0,19.688575281576988,0,plane,48,54,0.9058298568715236
jpeg,10,10.0,19.688575281576988,1,ship,6,6,0.1666666666666666
jpeg,10,10.0,19.688575281576988,2,storage-tank,15,6,0.4
jpeg,10,10.0,19.688575281576988,3,baseball-diamond,11,3,0.2727272727272727
jpeg,10,10.0,19.688575281576988,4,tennis-court,87,84,0.7413396717408742
jpeg,10,10.0,19.688575281576988,5,basketball-court,6,2,0.3333333333333333
jpeg,10,10.0,19.688575281576988,6,ground-track-field,9,5,0.5555555555555556
jpeg,10,10.0,19.688575281576988,7,harbor,48,39,0.6696221200297288
jpeg,10,10.0,19.688575281576988,8,bridge,10,10,0.78
jpeg,10,10.0,19.688575281576988,9,large-vehicle,57,72,0.8010979964899154
jpeg,10,10.0,19.688575281576988,10,small-vehicle,175,130,0.577844213856189
jpeg,10,10.0,19.688575281576988,11,helicopter,0,0,
jpeg,10,10.0,19.688575281576988,12,roundabout,5,2,0.4
jpeg,10,10.0,19.688575281576988,13,soccer-ball-field,7,5,0.2857142857142857
jpeg,10,10.0,19.688575281576988,14,swimming-pool,64,86,0.0011807026836158
jpeg,20,20.0,22.715415437378294,0,plane,48,47,0.8926172822449419
jpeg,20,20.0,22.715415437378294,1,ship,6,7,0.3055555555555556
jpeg,20,20.0,22.715415437378294,2,storage-tank,15,7,0.4666666666666667
jpeg,20,20.0,22.715415437378294,3,baseball-diamond,11,6,0.4393939393939394
jpeg,20,20.0,22.715415437378294,4,tennis-court,87,62,0.688713020538911
jpeg,20,20.0,22.715415437378294,5,basketball-court,6,4,0.5
