distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,2.0,2.0,-3.745351966101456,P0699,-6.02498639051031,1000,1000,678,0.678
haze,2.0,2.0,-3.745351966101456,P0806,-1.4535407628758192,1000,1000,669,0.669
haze,2.0,2.0,-3.745351966101456,P1003,-9.947708356917364,1000,1000,837,0.837
haze,2.0,2.0,-3.745351966101456,P1029,-5.416695475099384,1000,1000,784,0.784
haze,2.0,2.0,-3.745351966101456,P1148,-1.4665949750964753,417,335,215,0.6417910447761194
haze,2.0,2.0,-3.745351966101456,P1158,-4.994880729950063,939,479,327,0.6826722338204593
haze,2.0,2.0,-3.745351966101456,P1207,8.203172773903809,93,149,21,0.22580645161290322
haze,2.0,2.0,-3.745351966101456,P1216,7.820576304007783,155,477,55,0.3548387096774194
haze,2.0,2.0,-3.745351966101456,P1242,1.0276772410505044,1000,999,695,0.6956956956956957
haze,2.0,2.0,-3.745351966101456,P1358,-0.5035654998513757,1000,1000,791,0.791
haze,2.0,2.0,-3.745351966101456,P1522,-6.2062216849659375,1000,1000,756,0.756
haze,2.0,2.0,-3.745351966101456,P1676,-0.684643378333431,536,528,358,0.678030303030303
haze,2.0,2.0,-3.745351966101456,P1693,-4.649629614031485,825,570,365,0.6403508771929824
haze,2.0,2.0,-3.745351966101456,P1960,-5.790278337390608,1000,1000,866,0.866
haze,2.0,2.0,-3.745351966101456,P2002,-2.014001555914583,1000,1000,779,0.779
haze,2.0,2.0,-3.745351966101456,P2045,-8.98274535310346,1000,1000,688,0.688
haze,2.0,2.0,-3.745351966101456,P2210,1.023761393165845,1000,1000,595,0.595
haze,2.0,2.0,-3.745351966101456,P2257,-7.1584781531260955,1000,1000,831,0.831
haze,2.0,2.0,-3.745351966101456,P2278,-1.03625400596153,1000,1000,731,0.731
haze,2.0,2.0,-3.745351966101456,P2332,-0.9024374379511846,1000,1000,870,0.87
haze,2.0,2.0,-3.745351966101456,P2352,-2.9098595813212564,1000,1000,804,0.804
haze,2.0,2.0,-3.745351966101456,P2456,-3.888079784141603,1000,1000,927,0.927
haze,2.0,2.0,-3.745351966101456,P2528,-4.597145720463633,1000,1000,861,0.861
haze,2.0,2.0,-3.745351966101456,P2591,-3.914795587531718,1000,1000,769,0.769
haze,2.0,2.0,-3.745351966101456,P2613,-9.226302301663784,1000,1000,866,0.866
haze,2.0,2.0,-3.745351966101456,P2724,-1.9633209705011945,1000,1000,878,0.878
haze,2.0,2.0,-3.745351966101456,P2754,0.2071711822927556,1000,1000,855,0.855
haze,2.5,2.5,-4.268570215477657,P0063,-0.0392655462716577,1000,1000,857,0.857
haze,2.5,2.5,-4.268570215477657,P0081,-6.44623347633039,1000,1000,587,0.587
