distortion,level,level_numeric,snr_db_mean,name,ods_threshold,ods_f_score,snr_db
haze,3.0,3.0,-4.564046168308607,P2456,20,0.0,-4.710043851043785
haze,3.0,3.0,-4.564046168308607,P2528,20,0.0,-5.419063470719349
haze,3.0,3.0,-4.564046168308607,P2591,20,0.0,-4.736694985989264
haze,3.0,3.0,-4.564046168308607,P2613,20,0.0,-10.050942226844713
haze,3.0,3.0,-4.564046168308607,P2724,20,0.0,-2.7860666967465297
haze,3.0,3.0,-4.564046168308607,P2754,20,0.0,-0.6158405412213037
jpeg,1,1.0,14.156771236721948,P0063,205,0.1762964574888942,12.880987987334985
jpeg,1,1.0,14.156771236721948,P0081,79,0.0680361003889313,14.045896539021728
jpeg,1,1.0,14.156771236721948,P0198,116,0.2574662002200282,13.78651676991829
jpeg,1,1.0,14.156771236721948,P0308,20,0.1129290117791305,14.365189247537948
jpeg,1,1.0,14.156771236721948,P0336,160,0.0940546687410874,12.941758233226404
jpeg,1,1.0,14.156771236721948,P0345,175,0.0631547352047667,13.41815877502608
jpeg,1,1.0,14.156771236721948,P0363,138,0.1889124039256029,13.66072662833712
jpeg,1,1.0,14.156771236721948,P0368,49,0.1547910851772307,14.039362094042158
jpeg,1,1.0,14.156771236721948,P0377,27,0.082856194563469,12.71685696798297
jpeg,1,1.0,14.156771236721948,P0452,205,0.0816129357627133,12.760745540251593
jpeg,1,1.0,14.156771236721948,P0517,197,0.1904545178904392,11.497973429717074
jpeg,1,1.0,14.156771236721948,P0565,183,0.0800559521417878,12.47421476731246
jpeg,1,1.0,14.156771236721948,P0649,146,0.2036386799356822,12.948701732098604
jpeg,1,1.0,14.156771236721948,P0699,138,0.0849992546241913,17.60623824247475
jpeg,1,1.0,14.156771236721948,P0806,175,0.0851909381877345,15.283626590737107
jpeg,1,1.0,14.156771236721948,P1003,197,0.1253823815547762,11.844528598254646
jpeg,1,1.0,14.156771236721948,P1029,190,0.18755186182382,13.125964316633125
jpeg,1,1.0,14.156771236721948,P1148,20,0.0457205272803108,19.57404175651671
jpeg,1,1.0,14.156771236721948,P1158,168,0.0765152483175738,16.230063610418494
jpeg,1,1.0,14.156771236721948,P1207,183,1.0,11.959796701653444
jpeg,1,1.0,14.156771236721948,P1216,20,0.5378722689781099,16.511817152095663
jpeg,1,1.0,14.156771236721948,P1242,175,0.2356416397906216,22.176049414095537
jpeg,1,1.0,14.156771236721948,P1358,153,0.1137834042423847,16.8551497994027
jpeg,1,1.0,14.156771236721948,P1522,123,0.0280962403221203,13.90998162777426
jpeg,1,1.0,14.156771236721948,P1676,123,0.0046436028608426,12.86641705622386
jpeg,1,1.0,14.156771236721948,P1693,220,1.0,11.87820207737743
jpeg,1,1.0,14.156771236721948,P1960,146,0.2735541968324481,12.104370556866924
jpeg,1,1.0,14.156771236721948,P2002,197,0.2063701318084298,13.980686893327704
