distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
jpeg,40,40.0,25.44764178746442,10,small-vehicle,175,123,0.6365603497895932
jpeg,40,40.0,25.44764178746442,11,helicopter,0,0,
jpeg,40,40.0,25.44764178746442,12,roundabout,5,2,0.2
jpeg,40,40.0,25.44764178746442,13,soccer-ball-field,7,4,0.5714285714285714
jpeg,40,40.0,25.44764178746442,14,swimming-pool,64,10,0.125
noise,5,5.0,18.419875122198725,0,plane,48,44,0.8323412698412699
noise,5,5.0,18.419875122198725,1,ship,6,5,0.4166666666666666
noise,5,5.0,18.419875122198725,2,storage-tank,15,20,0.5867521367521367
noise,5,5.0,18.419875122198725,3,baseball-diamond,11,2,0.1818181818181818
noise,5,5.0,18.419875122198725,4,tennis-court,87,96,0.8937628543334356
noise,5,5.0,18.419875122198725,5,basketball-court,6,2,0.3333333333333333
noise,5,5.0,18.419875122198725,6,ground-track-field,9,4,0.3055555555555555
noise,5,5.0,18.419875122198725,7,harbor,48,44,0.7495191251984731
noise,5,5.0,18.419875122198725,8,bridge,10,6,0.6
noise,5,5.0,18.419875122198725,9,large-vehicle,57,91,0.6787766375235329
noise,5,5.0,18.419875122198725,10,small-vehicle,175,169,0.6811715185610251
noise,5,5.0,18.419875122198725,11,helicopter,0,0,
noise,5,5.0,18.419875122198725,12,roundabout,5,2,0.1
noise,5,5.0,18.419875122198725,13,soccer-ball-field,7,4,0.4285714285714285
noise,5,5.0,18.419875122198725,14,swimming-pool,64,4,0.0625
noise,10,10.0,15.975570212587229,0,plane,48,47,0.8517541486291486
noise,10,10.0,15.975570212587229,1,ship,6,12,0.4166666666666666
noise,10,10.0,15.975570212587229,2,storage-tank,15,22,0.6038880509468744
noise,10,10.0,15.975570212587229,3,baseball-diamond,11,0,0.0
noise,10,10.0,15.975570212587229,4,tennis-court,87,116,0.8389251320285803
noise,10,10.0,15.975570212587229,5,basketball-court,6,2,0.3333333333333333
noise,10,10.0,15.975570212587229,6,ground-track-field,9,3,0.1851851851851851
noise,10,10.0,15.975570212587229,7,harbor,48,43,0.733725480130009
noise,10,10.0,15.975570212587229,8,bridge,10,3,0.3
noise,10,10.0,15.975570212587229,9,large-vehicle,57,86,0.6871006778724007
noise,10,10.0,15.975570212587229,10,small-vehicle,175,168,0.6719478082978735
noise,10,10.0,15.975570212587229,11,helicopter,0,0,
noise,10,10.0,15.975570212587229,12,roundabout,5,0,0.0
noise,10,10.0,15.975570212587229,13,soccer-ball-field,7,4,0.3928571428571428
noise,10,10.0,15.975570212587229,14,swimming-pool,64,3,0.046875
noise,15,15.0,13.663546271537024,0,plane,48,45,0.8513257575757575
noise,15,15.0,13.663546271537024,1,ship,6,12,0.4166666666666666
noise,15,15.0,13.663546271537024,2,storage-tank,15,16,0.484090909090909
noise,15,15.0,13.663546271537024,3,baseball-diamond,11,0,0.0
noise,15,15.0,13.663546271537024,4,tennis-court,87,149,0.7837909434372837
noise,15,15.0,13.663546271537024,5,basketball-court,6,2,0.3333333333333333
noise,15,15.0,13.663546271537024,6,ground-track-field,9,2,0.0555555555555555
noise,15,15.0,13.663546271537024,7,harbor,48,45,0.6813616241070071
noise,15,15.0,13.663546271537024,8,bridge,10,2,0.2
noise,15,15.0,13.663546271537024,9,large-vehicle,57,80,0.6503626690394889
noise,15,15.0,13.663546271537024,10,small-vehicle,175,164,0.6573146491914842
noise,15,15.0,13.663546271537024,11,helicopter,0,0,
noise,15,15.0,13.663546271537024,12,roundabout,5,0,0.0
noise,15,15.0,13.663546271537024,13,soccer-ball-field,7,2,0.1428571428571428
noise,15,15.0,13.663546271537024,14,swimming-pool,64,2,0.03125
noise,25,25.0,10.108449678631985,0,plane,48,44,0.8100278274696879
noise,25,25.0,10.108449678631985,1,ship,6,19,0.3611111111111111
noise,25,25.0,10.108449678631985,2,storage-tank,15,6,0.2666666666666666
noise,25,25.0,10.108449678631985,3,baseball-diamond,11,0,0.0
noise,25,25.0,10.108449678631985,4,tennis-court,87,117,0.335698005417099
noise,25,25.0,10.108449678631985,5,basketball-court,6,0,0.0
noise,25,25.0,10.108449678631985,6,ground-track-field,9,0,0.0
noise,25,25.0,10.108449678631985,7,harbor,48,36,0.5605008417508418
noise,25,25.0,10.108449678631985,8,bridge,10,0,0.0
noise,25,25.0,10.108449678631985,9,large-vehicle,57,72,0.5883368888039823
noise,25,25.0,10.108449678631985,10,small-vehicle,175,146,0.6162124753673822
noise,25,25.0,10.108449678631985,11,helicopter,0,1,0.0
noise,25,25.0,10.108449678631985,12,roundabout,5,0,0.0
noise,25,25.0,10.108449678631985,13,soccer-ball-field,7,1,0.1428571428571428
noise,25,25.0,10.108449678631985,14,swimming-pool,64,2,0.03125
noise,35,35.0,7.606840899682929,0,plane,48,38,0.7708333333333334
noise,35,35.0,7.606840899682929,1,ship,6,31,0.3162393162393163
noise,35,35.0,7.606840899682929,2,storage-tank,15,4,0.1833333333333333
noise,35,35.0,7.606840899682929,3,baseball-diamond,11,0,0.0
noise,35,35.0,7.606840899682929,4,tennis-court,87,16,0.0129310344827586
noise,35,35.0,7.606840899682929,5,basketball-court,6,0,0.0
noise,35,35.0,7.606840899682929,6,ground-track-field,9,0,0.0
noise,35,35.0,7.606840899682929,7,harbor,48,30,0.4529872087956327
noise,35,35.0,7.606840899682929,8,bridge,10,0,0.0
noise,35,35.0,7.606840899682929,9,large-vehicle,57,59,0.4230855586999222
noise,35,35.0,7.606840899682929,10,small-vehicle,175,111,0.5218321816439
noise,35,35.0,7.606840899682929,11,helicopter,0,1,0.0
noise,35,35.0,7.606840899682929,12,roundabout,5,0,0.0
noise,35,35.0,7.606840899682929,13,soccer-ball-field,7,0,0.0
noise,35,35.0,7.606840899682929,14,swimming-pool,64,1,0.015625
noise,50,50.0,4.980252769363661,0,plane,48,27,0.5624999999999999
noise,50,50.0,4.980252769363661,1,ship,6,43,0.3333333333333333
noise,50,50.0,4.980252769363661,2,storage-tank,15,3,0.0666666666666666
noise,50,50.0,4.980252769363661,3,baseball-diamond,11,0,0.0
noise,50,50.0,4.980252769363661,4,tennis-court,87,0,0.0
noise,50,50.0,4.980252769363661,5,basketball-court,6,0,0.0
noise,50,50.0,4.980252769363661,6,ground-track-field,9,0,0.0
noise,50,50.0,4.980252769363661,7,harbor,48,14,0.1707621082621082
noise,50,50.0,4.980252769363661,8,bridge,10,0,0.0
noise,50,50.0,4.980252769363661,9,large-vehicle,57,27,0.2192589528046591
noise,50,50.0,4.980252769363661,10,small-vehicle,175,39,0.2171428571428571
noise,50,50.0,4.980252769363661,11,helicopter,0,0,
noise,50,50.0,4.980252769363661,12,roundabout,5,0,0.0
noise,50,50.0,4.980252769363661,13,soccer-ball-field,7,0,0.0
noise,50,50.0,4.980252769363661,14,swimming-pool,64,0,0.0
