distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_dist_kp,n_good,good_ratio
haze,2.5,2.5,-4.268570215477657,P0806,-1.974576130506456,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1003,-10.469921172420843,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1029,-5.937331609481452,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1148,-1.9879747124947496,417,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1158,-5.515696595099239,939,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1207,7.635119217725437,93,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1216,7.295009099793226,155,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1242,0.5084271744256931,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1358,-1.0259237392561882,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1522,-6.727946084698971,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1676,-1.2100551048203754,536,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1693,-5.174632740511188,825,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P1960,-6.30996569871607,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2002,-2.5352195806301507,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2045,-9.50322884322832,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2210,0.5028003574439475,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2257,-7.68305114347708,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2278,-1.557860609819552,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2332,-1.4236184162396683,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2352,-3.431012087393018,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2456,-4.409025274043776,1000,0,0,0.0
