name,distortion,level,level_numeric,snr_db_distorted,snr_db_restored,snr_gain_db,clean_path,distorted_path,restored_path
P2045,haze,1.0,1.0,-6.2623796195255474,11.284688373647162,17.54706799317271,data/clean/test/images/P2045.png,data/distorted/haze/1.0/test/images/P2045.png,data/restored/haze/1.0/test/images/P2045.png
P2210,haze,1.0,1.0,3.7578872823843357,11.673367834771454,7.915480552387119,data/clean/test/images/P2210.png,data/distorted/haze/1.0/test/images/P2210.png,data/restored/haze/1.0/test/images/P2210.png
P2257,haze,1.0,1.0,-4.431120678661079,14.405859852006737,18.836980530667816,data/clean/test/images/P2257.png,data/distorted/haze/1.0/test/images/P2257.png,data/restored/haze/1.0/test/images/P2257.png
P2278,haze,1.0,1.0,1.6961726678617888,13.538582606259988,11.842409938398198,data/clean/test/images/P2278.png,data/distorted/haze/1.0/test/images/P2278.png,data/restored/haze/1.0/test/images/P2278.png
P2332,haze,1.0,1.0,1.8305272220529856,14.312852317216729,12.482325095163743,data/clean/test/images/P2332.png,data/distorted/haze/1.0/test/images/P2332.png,data/restored/haze/1.0/test/images/P2332.png
P2352,haze,1.0,1.0,-0.1780756366915568,16.02387081857386,16.201946455265418,data/clean/test/images/P2352.png,data/distorted/haze/1.0/test/images/P2352.png,data/restored/haze/1.0/test/images/P2352.png
P2456,haze,1.0,1.0,-1.1572081101382818,22.45846763560928,23.615675745747563,data/clean/test/images/P2456.png,data/distorted/haze/1.0/test/images/P2456.png,data/restored/haze/1.0/test/images/P2456.png
P2528,haze,1.0,1.0,-1.8660903682900798,15.990080145263349,17.85617051355343,data/clean/test/images/P2528.png,data/distorted/haze/1.0/test/images/P2528.png,data/restored/haze/1.0/test/images/P2528.png
P2591,haze,1.0,1.0,-1.1835231932628774,16.920951466150743,18.104474659413622,data/clean/test/images/P2591.png,data/distorted/haze/1.0/test/images/P2591.png,data/restored/haze/1.0/test/images/P2591.png
P2613,haze,1.0,1.0,-6.50277438202946,13.71518415121399,20.21795853324345,data/clean/test/images/P2613.png,data/distorted/haze/1.0/test/images/P2613.png,data/restored/haze/1.0/test/images/P2613.png
P2724,haze,1.0,1.0,0.769638618008045,13.135689215587147,12.366050597579102,data/clean/test/images/P2724.png,data/distorted/haze/1.0/test/images/P2724.png,data/restored/haze/1.0/test/images/P2724.png
P2754,haze,1.0,1.0,2.939982000486405,13.790646081581098,10.850664081094694,data/clean/test/images/P2754.png,data/distorted/haze/1.0/test/images/P2754.png,data/restored/haze/1.0/test/images/P2754.png
P0063,haze,1.5,1.5,1.415784992668465,18.304306968792265,16.8885219761238,data/clean/test/images/P0063.png,data/distorted/haze/1.5/test/images/P0063.png,data/restored/haze/1.5/test/images/P0063.png
P0081,haze,1.5,1.5,-4.9778029780170545,15.237137765080956,20.214940743098012,data/clean/test/images/P0081.png,data/distorted/haze/1.5/test/images/P0081.png,data/restored/haze/1.5/test/images/P0081.png
P0198,haze,1.5,1.5,-2.763981268282495,15.760746630166242,18.524727898448738,data/clean/test/images/P0198.png,data/distorted/haze/1.5/test/images/P0198.png,data/restored/haze/1.5/test/images/P0198.png
P0308,haze,1.5,1.5,-4.717047446176662,15.991770825221076,20.70881827139774,data/clean/test/images/P0308.png,data/distorted/haze/1.5/test/images/P0308.png,data/restored/haze/1.5/test/images/P0308.png
